dt,position,pnl_logret,equity_logret,dollar_pnl,dollar_equity
2026-05-21 02:25:00,0.13798503577709198,-9.576969023328274e-05,-9.576969023328274e-05,0.0,0.0
2026-05-21 02:30:00,0.12999054789543152,5.155338658369146e-05,-4.421630364959128e-05,3.0259450430184605,3.0259450430184605
2026-05-21 02:35:00,0.15399782359600067,-9.270237933378667e-05,-0.00013691868298337795,-5.4408061173766855,-2.414861074358225
2026-05-21 02:40:00,0.1562265157699585,-3.7727175367763266e-05,-0.00017464585835114121,-2.2133242548331618,-4.628185329191387
2026-05-21 02:45:00,0.1751398742198944,-2.2898261704540346e-06,-0.00017693568452159525,-0.13431969288885595,-4.762505022080243
2026-05-21 02:50:00,0.1821454018354416,-7.61141927796416e-06,-0.0001845471037995594,-0.4464796536564827,-5.208984675736726
2026-05-21 02:55:00,0.18780925869941711,8.849531877785921e-05,-9.60517850217002e-05,5.192213140398264,-0.016771535338461874
2026-05-21 03:00:00,0.19526416063308716,3.344222568557598e-05,-6.260955933612422e-05,1.962774011671543,1.9460024763330812
2026-05-21 03:05:00,0.20926667749881744,-1.3496473911800422e-05,-7.610603324792464e-05,-0.7921797787383199,1.1538226975947614
2026-05-21 03:10:00,0.2095658779144287,2.314720768481493e-05,-5.295882556310971e-05,1.3586659825250507,2.5124886801198123
2026-05-21 03:15:00,0.22600984573364258,8.332529978360981e-05,3.0366474220500095e-05,4.892169346809387,7.4046580269292
2026-05-21 03:20:00,0.23239703476428986,-1.3150382073945366e-05,1.721609214655473e-05,-0.7722054458633065,6.632452581065893
2026-05-21 03:25:00,0.2366783320903778,-2.3025928385322914e-05,-5.8098362387681846e-06,-1.3520099541649222,5.280442626900971
2026-05-21 03:30:00,0.22992688417434692,3.193371230736375e-05,2.6123876068595564e-05,1.8750976128935815,7.1555402397945524
2026-05-21 03:35:00,0.2427460253238678,0.00015446908946614712,0.0001805929655347427,9.073794559076429,16.22933479887098
2026-05-21 03:40:00,0.25824210047721863,-5.144681563251652e-05,0.00012914614990222617,-3.0227745300590994,13.20656026881188
2026-05-21 03:45:00,0.25765174627304077,-0.00013610752648673952,-6.961376584513346e-06,-7.994140737327934,5.212419531483947
2026-05-21 03:50:00,0.26613903045654297,1.1899564924533479e-05,4.938188340020133e-06,0.6987449721038341,5.911164503587782
2026-05-21 03:55:00,0.2902452349662781,0.00014836333866696805,0.00015330152700698818,8.714491786330939,14.62565628991872
2026-05-21 04:00:00,0.308735191822052,6.811516414018115e-06,0.0001601130434210063,0.40020414561033246,15.025860435529053
2026-05-21 04:05:00,0.31259390711784363,6.306581781245768e-05,0.00022317886123346398,3.7057835078448056,18.731643943373857
2026-05-21 04:10:00,0.327698290348053,-1.4173620911606122e-05,0.00020900524032185785,-0.8329229281157255,17.898721015258133
2026-05-21 04:15:00,0.3333696126937866,8.678527956362814e-05,0.000295790519885486,5.10057451235652,22.999295527614652
2026-05-21 04:20:00,0.33355069160461426,0.00020702097390312701,0.000502811493788613,12.172471479892732,35.171767007507384
2026-05-21 04:25:00,0.32859236001968384,-0.00018820070545189083,0.0003146107883367222,-11.066170402592421,24.105596604914965
