fold,start,end,sharpe,total_return_pct,avg_pos
0,2026-05-21 02:25:00,2026-05-26 20:40:00,0.3058919658553129,0.02391240735119129,0.2462825950110564
1,2026-05-26 20:45:00,2026-06-01 12:00:00,0.6106256098770114,0.047572305223289126,0.2819471460356726
2,2026-06-01 12:05:00,2026-06-05 03:20:00,-18.26787757836947,-0.7721505621718366,0.13219097513053565
3,2026-06-05 03:25:00,2026-06-10 17:40:00,-18.28968196753265,-1.3658980219282504,0.09397157613968009
4,2026-06-10 17:45:00,2026-06-16 09:00:00,10.168233884570043,0.6259807814795422,0.09867036662535972
5,2026-06-16 09:05:00,2026-06-22 04:20:00,-7.42821026668921,-0.389420888562557,0.1086591933434829
6,2026-06-22 04:25:00,2026-06-25 18:40:00,-16.48402392607112,-1.0420558678109137,0.10356733605865155
7,2026-06-25 18:45:00,2026-07-01 10:00:00,7.482139085163595,0.48120689610060075,0.14306946886132937
8,2026-07-01 10:05:00,2026-07-07 05:20:00,-13.211321841996966,-0.7502444519513273,0.14036183067271485
9,2026-07-07 05:25:00,2026-07-10 19:40:00,-4.554783363885056,-0.2549691571698855,0.12166874430177266
10,2026-07-10 19:45:00,2026-07-16 11:00:00,-9.3449743852101,-0.5184409479037075,0.1295656178833451
11,2026-07-16 11:05:00,2026-07-22 02:20:00,-7.631316182191954,-0.5375000075833035,0.13557347966221278
12,2026-07-22 02:25:00,2026-07-27 16:40:00,-15.635733835921956,-1.3200717139129396,0.16263161244109506
13,2026-07-27 16:45:00,2026-07-31 08:00:00,-13.33497929275131,-1.2212456416926352,0.15867827125452458
14,2026-07-31 08:05:00,2026-07-31 18:15:00,-30.887551153846466,-0.45773580526072183,0.16841608778823436
